id,key,value,type
28107767,name,Calle Petunia,regular
28107767,lanes,2,regular
28107767,highway,residential,regular
28107772,name,Calle Clavel,regular
28107772,lanes,2,regular
28107772,oneway,yes,regular
28107772,highway,residential,regular
28107773,name,Calle Orquídea,regular
28107773,lanes,2,regular
28107773,highway,residential,regular
28107773,sidewalk,both,regular
28107775,name,Calle Dalia,regular
28107775,oneway,no,regular
28107775,highway,residential,regular
28107775,forward,1,lanes
28107775,backward,1,lanes
28107780,name,Calle Narciso,regular
28107780,lanes,2,regular
28107780,highway,residential,regular
28107791,name,Prado Ovejero,regular
28107791,leisure,park,regular
28107794,name,Calle Francisco Javier Sauquillo,regular
28107794,lanes,2,regular
28107794,highway,residential,regular
28107811,name,Avenida Cerro Prieto,regular
28107811,oneway,yes,regular
28107811,highway,residential,regular
28107812,oneway,yes,regular
28107812,highway,residential,regular
28107814,name,Calle Cerro Prieto,regular
28107814,highway,residential,regular
28107820,name,Calle de la Paz,regular
28107820,oneway,yes,regular
28107820,highway,residential,regular
28107823,name,Calle de los Reyes Católicos,regular
28107823,oneway,yes,regular
28107823,highway,residential,regular
28107827,lit,yes,regular
28107827,name,Calle del Río Miño,regular
28107827,lanes,2,regular
28107827,highway,residential,regular
28107827,surface,asphalt,regular
28107829,lit,yes,regular
28107829,name,Calle del Río Sil,regular
28107829,lanes,1,regular
28107829,oneway,yes,regular
28107829,highway,residential,regular
28107829,surface,asphalt,regular
28107830,name,Calle del Río Segre,regular
28107830,oneway,yes,regular
28107830,highway,residential,regular
28107831,name,Calle del Río Júcar,regular
28107831,oneway,yes,regular
28107831,highway,residential,regular
28107836,name,Calle del Río Tormes,regular
28107836,oneway,yes,regular
28107836,highway,residential,regular
28107836,sidewalk,both,regular
28107838,name,Calle G,regular
28107838,highway,residential,regular
28107840,name,Calle del Río Guadiana,regular
28107840,oneway,no,regular
28107840,highway,residential,regular
28107841,name,Calle del Río Segura,regular
28107841,highway,residential,regular
28107842,name,Calle Río Segura,regular
28107842,highway,residential,regular
28107843,name,Calle Río Odiel,regular
28107843,highway,residential,regular
28107844,name,Calle del Río Sil,regular
28107844,oneway,yes,regular
28107844,highway,residential,regular
28214585,name,Calle Berlín,regular
