id,user,uid,version,changeset,timestamp
29415401,dvidrie,8076,7,15119755,2013-02-22T08:08:38Z
29415403,dvidrie,8076,8,15119755,2013-02-22T08:08:39Z
29415412,WanMil,109925,5,3422201,2009-12-21T19:21:34Z
29415439,Antonio Garzón,648006,7,30732459,2015-05-02T21:00:54Z
29415455,guannais,87759,7,51682262,2017-09-02T23:36:25Z
29415456,Antonio Garzón,648006,3,38513511,2016-04-12T23:53:40Z
29415461,guannais,87759,12,51682262,2017-09-02T23:36:25Z
29470397,guannais,87759,4,51682262,2017-09-02T23:36:26Z
29470402,jespa,915419,2,20892332,2014-03-03T17:07:18Z
29470588,Antonio Garzón,648006,8,25984199,2014-10-10T14:40:27Z
29470596,RichRico,2219338,4,25930822,2014-10-08T02:33:42Z
29470822,robertogeb,491515,3,11847607,2012-06-09T18:19:40Z
29471129,c_gonzalez,708476,5,12030348,2012-06-26T20:10:37Z
29493497,Antonio Garzón,648006,3,11203584,2012-04-06T15:57:25Z
29849915,Hjart,207581,9,35433921,2015-11-19T13:14:01Z
29851101,Luiyo,316694,13,37203343,2016-02-14T12:41:37Z
29851171,Raul Gonzalez,1947048,5,22500643,2014-05-23T08:35:56Z
29851397,Luiyo,316694,5,36131913,2015-12-23T18:39:09Z
30039130,Cuenqui,3649461,15,47428182,2017-04-04T00:41:47Z
30104048,dannykath,2226712,10,41944065,2016-09-06T01:01:33Z
30137770,polkillas,42055,10,27730875,2014-12-27T14:17:31Z
30137847,Polyglot,15188,13,50738670,2017-08-01T05:31:44Z
